SrcAddr,total_flows,total_bytes,total_pkts,total_src_bytes,total_src_pkts,avg_bytes_per_flow,avg_pkts_per_flow,avg_duration,median_duration,n_unique_dports,n_unique_sports,n_unique_dstaddr,n_unique_proto,port_scan_ratio,dst_diversity_ratio,entropy_dport,entropy_dstaddr,entropy_proto,first_seen,last_seen,active_duration_seconds,n_active_hours,flows_per_active_hour,location_mode,bytes_per_pkt,src_bytes_ratio,src_pkts_ratio,total_flows_log1p,total_bytes_log1p,total_pkts_log1p,total_src_bytes_log1p,total_src_pkts_log1p,avg_bytes_per_flow_log1p,avg_pkts_per_flow_log1p,active_duration_seconds_log1p,flows_per_active_hour_log1p,bytes_per_pkt_log1p,iforest_score,iforest_label,hdbscan_cluster,hdbscan_score,hdbscan_label,knn_score,copod_score,lof_score,ensemble_score,anomaly_label_final
1.2.210.36,1,240,4,132,2,240.0,4.0,0.681522,0.681522,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 05:14:25.358031,2021-05-18 05:14:25.358031,0.0,1,1.0,London,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14558793428655376,0,82,0.6025328787140249,0,4.513016366252022e-05,18.83597829745561,1.0820300681302746,0.13400526742821156,0
1.2.221.94,1,240,4,132,2,240.0,4.0,0.689601,0.689601,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 13:22:36.866296,2021-05-18 13:22:36.866296,0.0,1,1.0,London,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14615421016813074,0,-1,1.2200244649299567e-13,0,6.694665702794424e-05,18.968679141225202,1.3509411499360282,0.01342737480371472,0
1.20.199.161,2,480,8,264,4,240.0,4.0,0.7780940000000001,0.7780940000000001,1,2,1,1,0.5,0.5,-0.0,-0.0,-0.0,2021-05-18 07:39:21.058799,2021-05-18 10:59:32.224134,12011.165335,2,1.0,London,60.0,0.55,0.5,1.0986122886681096,6.175867270105761,2.1972245773362196,5.579729825986222,1.6094379124341003,5.484796933490655,1.6094379124341003,9.39367519316101,0.6931471805599453,4.110873864173311,-0.08386198822067675,0,78,0.0,0,0.037108174547597406,36.46902821874985,0.9859987175124052,0.06699258093737125,0
1.207.195.48,1,110,2,56,1,110.0,2.0,2.9e-05,2.9e-05,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 06:25:34.560438,2021-05-18 06:25:34.560438,0.0,1,1.0,Frankfurt,55.0,0.509090909090909,0.5,0.6931471805599453,4.709530201312334,1.0986122886681096,4.04305126783455,0.6931471805599453,4.709530201312334,1.0986122886681096,0.0,0.6931471805599453,4.02535169073515,-0.1545334629276267,0,40,0.0,0,0.0,12.397855889834101,1.0,0.0002310910566866518,0
1.209.75.254,2,480,8,264,4,240.0,4.0,0.7403010000000001,0.7403010000000001,1,2,1,1,0.5,0.5,-0.0,-0.0,-0.0,2021-05-18 18:40:12.163697,2021-05-18 23:15:26.892817,16514.72912,2,1.0,London,60.0,0.55,0.5,1.0986122886681096,6.175867270105761,2.1972245773362196,5.579729825986222,1.6094379124341003,5.484796933490655,1.6094379124341003,9.71206848580585,0.6931471805599453,4.110873864173311,-0.08308536545678213,0,78,0.2706203102823127,0,0.05292360752429834,36.14945099796234,1.0244587488434806,0.12104375371710283,0
1.233.8.251,1,166,3,112,2,166.0,3.0,0.35973,0.35973,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 11:51:36.654251,2021-05-18 11:51:36.654251,0.0,1,1.0,London,55.333333333333336,0.6746987951807228,0.6666666666666666,0.6931471805599453,5.117993812416755,1.3862943611198906,4.727387818712341,1.0986122886681096,5.117993812416755,1.3862943611198906,0.0,0.6931471805599453,4.0312864262549635,-0.07538110465924114,0,2,0.0,0,0.000549154975919881,19.891257172086405,0.9686399278244568,0.047246629563146764,0
1.234.49.107,1,356,6,194,3,356.0,6.0,1.590684,1.590684,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 21:55:08.627032,2021-05-18 21:55:08.627032,0.0,1,1.0,Frankfurt,59.333333333333336,0.5449438202247191,0.5,0.6931471805599453,5.877735781779639,1.9459101490553132,5.272999558563747,1.3862943611198906,5.877735781779639,1.9459101490553132,0.0,0.6931471805599453,4.099884742597716,-0.0670447130130103,0,7,0.0,0,0.0005454119657415182,34.22198802412881,0.9811069635289499,0.07146228833653119,0
1.34.215.182,1,240,4,132,2,240.0,4.0,0.710492,0.710492,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 23:56:53.174291,2021-05-18 23:56:53.174291,0.0,1,1.0,London,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14550997253522263,0,83,0.0,0,3.340203556742236e-05,19.27372443535701,0.9835112566482678,0.014157174264364188,0
1.4.152.150,1,240,4,132,2,240.0,4.0,0.749607,0.749607,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 05:01:38.354906,2021-05-18 05:01:38.354906,0.0,1,1.0,London,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14525600354108237,0,65,0.0,0,5.2259738334970334e-05,19.951818439426795,0.9789792440096992,0.015238502160144168,0
1.4.170.64,1,240,4,132,2,240.0,4.0,0.672812,0.672812,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 04:38:38.290122,2021-05-18 04:38:38.290122,0.0,1,1.0,London,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14607316392260583,0,70,0.5903065451533714,0,6.712488688572076e-05,18.770390637083906,1.7105297699323718,0.1312438646708704,0
