StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/05/18 02:15:48.809108,0.088047,tcp,92.63.196.13,48849,   ->,159.65.26.180,65001,SR_RA,0,0,3,166,112,2
2021/05/18 02:15:57.053384,1.454730,tcp,36.68.55.4,30306,   ->,159.65.26.180,1433,S_RA,0,0,6,348,186,3
2021/05/18 02:16:05.983902,0.053155,tcp,45.134.26.42,59352,   ->,159.65.26.180,7359,SR_RA,0,0,3,166,112,2
2021/05/18 02:16:35.780249,0.050213,tcp,45.134.26.40,59321,   ->,159.65.26.180,37984,SR_RA,0,0,3,166,112,2
2021/05/18 02:17:01.475238,0.055979,tcp,45.134.26.38,59289,   ->,159.65.26.180,13134,SR_RA,0,0,3,166,112,2
2021/05/18 02:17:12.915543,0.370951,tcp,116.206.94.92,44343,   ->,159.65.26.180,1433,SR_RA,0,0,3,176,122,2
2021/05/18 02:17:14.770661,0.000034,tcp,143.110.184.104,61953,   ->,159.65.26.180,9061,S_RA,32,32,2,110,56,1
2021/05/18 02:17:15.780243,0.013368,tcp,45.143.203.17,54570,   ->,159.65.26.180,7441,SR_RA,0,0,3,166,112,2
2021/05/18 02:17:23.886616,0.167234,tcp,5.188.206.18,46983,   ->,159.65.26.180,12326,SR_RA,0,0,3,166,112,2
2021/05/18 02:17:49.981085,0.657496,tcp,61.16.140.98,64634,   ->,159.65.26.180,445,S_RA,32,32,4,240,132,2
2021/05/18 02:18:03.529700,0.053573,tcp,45.134.26.43,59370,   ->,159.65.26.180,32507,SR_RA,0,0,3,166,112,2
2021/05/18 02:18:22.495283,0.055340,tcp,45.134.26.47,59438,   ->,159.65.26.180,50832,SR_RA,0,0,3,166,112,2
2021/05/18 02:18:29.407348,0.000034,tcp,167.248.133.95,10568,   ->,159.65.26.180,51006,S_RA,0,0,2,112,58,1
2021/05/18 02:18:36.015064,0.000031,tcp,185.142.236.36,16655,   ->,159.65.26.180,3388,S_RA,0,0,2,112,58,1
2021/05/18 02:18:42.999332,0.012188,tcp,92.63.197.86,56335,   ->,159.65.26.180,8778,SR_RA,0,0,3,166,112,2
2021/05/18 02:18:58.475448,0.000027,tcp,167.71.172.253,61953,   ->,159.65.26.180,8083,S_RA,0,0,2,110,56,1
2021/05/18 02:19:12.341134,0.050151,tcp,45.134.26.37,59270,   ->,159.65.26.180,27139,SR_RA,0,0,3,166,112,2
2021/05/18 02:19:24.263113,0.054303,tcp,185.191.34.204,55106,   ->,159.65.26.180,7402,SR_RA,0,0,3,166,112,2
2021/05/18 02:19:28.285674,0.577629,tcp,192.99.222.103,53121,   ->,159.65.26.180,445,S_RA,20,20,4,240,132,2
2021/05/18 02:19:36.043259,0.000029,udp,146.88.240.4,58205,   ->,159.65.26.180,47808,INT,0,,1,59,59,1
2021/05/18 02:19:39.164528,0.000024,tcp,42.188.234.22,48508,   ->,159.65.26.180,23,S_RA,0,0,2,112,58,1
2021/05/18 02:19:44.630106,0.595955,tcp,172.58.224.128,45458,   ->,159.65.26.180,445,S_RA,0,0,4,232,124,2
2021/05/18 02:19:44.810380,0.058147,tcp,45.134.26.42,59352,   ->,159.65.26.180,3770,SR_RA,0,0,3,166,112,2
2021/05/18 02:20:04.085730,0.000028,tcp,167.248.133.19,57134,   ->,159.65.26.180,60000,S_RA,0,0,2,112,58,1
2021/05/18 02:20:04.981440,0.734628,tcp,49.149.98.183,9010,   ->,159.65.26.180,445,S_RA,0,0,4,232,124,2
2021/05/18 02:20:20.697538,0.009885,tcp,89.248.165.183,57202,   ->,159.65.26.180,22,SR_RA,0,0,3,166,112,2
2021/05/18 02:20:40.066188,0.561061,tcp,5.183.29.2,2341,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:20:42.049876,0.012059,tcp,89.248.165.183,57202,   ->,159.65.26.180,23,SR_RA,0,0,3,166,112,2
2021/05/18 02:20:52.816375,0.000029,tcp,60.191.125.35,49483,   ->,159.65.26.180,1133,S_RA,0,0,2,110,56,1
2021/05/18 02:21:39.890189,0.132935,tcp,193.27.229.86,59157,   ->,159.65.26.180,23049,SR_RA,0,0,3,166,112,2
2021/05/18 02:21:42.532626,0.707350,tcp,220.132.37.219,10161,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:21:50.800966,0.000024,tcp,205.185.117.46,53547,   ->,159.65.26.180,5555,S_RA,0,0,2,110,56,1
2021/05/18 02:22:20.823202,0.000030,tcp,192.241.201.207,38481,   ->,159.65.26.180,32920,S_RA,0,0,2,110,56,1
2021/05/18 02:22:23.844570,0.055500,tcp,45.146.164.51,8080,   ->,159.65.26.180,33025,SR_RA,0,0,3,166,112,2
2021/05/18 02:22:44.064953,1.593326,tcp,49.235.76.69,59258,   ->,159.65.26.180,4153,S_RA,0,0,6,356,194,3
2021/05/18 02:22:44.111807,1.562395,tcp,49.235.76.69,59259,   ->,159.65.26.180,4145,S_RA,96,96,6,356,194,3
2021/05/18 02:22:44.139945,1.531186,tcp,49.235.76.69,59260,   ->,159.65.26.180,8080,S_RA,0,0,6,356,194,3
2021/05/18 02:22:44.159125,1.592813,tcp,49.235.76.69,59261,   ->,159.65.26.180,2975,S_RA,0,0,6,356,194,3
2021/05/18 02:23:00.090010,0.000029,tcp,162.142.125.92,51962,   ->,159.65.26.180,21296,S_RA,0,0,2,112,58,1
2021/05/18 02:23:13.134772,0.065925,tcp,45.134.26.57,59612,   ->,159.65.26.180,53965,SR_RA,0,0,3,166,112,2
2021/05/18 02:23:34.017160,0.671014,tcp,91.185.250.138,63683,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:23:35.856748,0.000032,udp,193.46.255.122,5616,   ->,159.65.26.180,5080,INT,0,,1,458,458,1
2021/05/18 02:23:42.168161,0.048730,tcp,45.146.164.210,43903,   ->,159.65.26.180,7099,SR_RA,0,0,3,166,112,2
2021/05/18 02:24:12.837085,0.000031,tcp,134.209.164.184,55383,   ->,159.65.26.180,11094,S_RA,0,0,2,110,56,1
2021/05/18 02:24:33.341513,0.053430,tcp,45.146.164.58,8080,   ->,159.65.26.180,13466,SR_RA,0,0,3,166,112,2
2021/05/18 02:24:53.622864,0.052021,tcp,45.134.26.40,59321,   ->,159.65.26.180,3254,SR_RA,0,0,3,166,112,2
2021/05/18 02:24:54.043067,0.000029,udp,93.86.148.249,64921,   ->,159.65.26.180,60070,INT,0,,1,114,114,1
2021/05/18 02:24:57.426903,0.000029,tcp,190.205.17.212,58348,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1
2021/05/18 02:25:21.068660,0.033262,tcp,89.248.165.201,48778,   ->,159.65.26.180,4000,SR_RA,0,0,3,166,112,2
2021/05/18 02:25:32.353727,0.062059,tcp,193.27.229.86,59157,   ->,159.65.26.180,61243,SR_RA,0,0,3,166,112,2
